machineId,R2_CV,RMSE_CV,MAPE_CV,n_samples,res_mean,res_std,n_anom_flagged,pct_anom_flagged,model_path
2829,0.67960045887484,31.553450150141998,68.93514638068957,6525,0.04173215842837848,29.93333780923099,2,0.020768431983385256,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2829_response_model.pkl
2824,0.6678611704699664,31.63263739447792,69.99843985341963,6329,0.003133946369088194,29.965771571002485,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2824_response_model.pkl
2804,0.6595073300967302,31.739311736580788,70.25441939863185,6493,-0.004399901761949331,30.295809562071934,6,0.062234208069702306,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2804_response_model.pkl
2802,0.6526603965337567,31.470161197619273,68.90928417094199,6526,-0.003204634337197413,29.739499337585343,4,0.04148516905206388,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2802_response_model.pkl
2762,0.6133839477372321,34.70331896926684,70.46933156127312,6533,-0.020346138982617053,31.412502743536326,17,0.17439474764054164,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2762_response_model.pkl
2764,0.574543619769915,31.47600702641616,70.03570252365498,6500,-0.04508670105871404,30.161714850144243,1,0.010289124395513941,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2764_response_model.pkl
2831,0.5691223492374462,32.359802364931944,73.33256485854653,6197,0.018596936290086172,30.45372357635283,3,0.031962497336458555,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2831_response_model.pkl
2758,0.5668906402433377,31.846811787752255,73.82829094224844,9369,0.024089856618561306,30.4871052587111,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2758_response_model.pkl
1657,0.5513862894828706,31.751707841442016,73.33238907172787,9249,-0.03859813488311167,30.72829710310232,2,0.021308331557639035,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_1657_response_model.pkl
2741,0.5400851105553561,31.739284079801724,73.98221073577773,9374,-0.007580682803208727,30.65354645081012,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2741_response_model.pkl
2738,0.5208677062147767,31.56053947414632,72.32912088774819,9367,0.045868010430051384,30.456465892125884,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2738_response_model.pkl
1658,0.4957968419852078,31.90388507578711,75.04166302931607,9263,-0.10064502871476086,31.016520812331226,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_1658_response_model.pkl
2822,0.47796778511369215,33.05644204395209,72.08973465919804,9639,0.0553741184980132,31.58121726676498,15,0.1556178026766262,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2822_response_model.pkl
2830,0.4740763147779029,31.470879818368967,72.11164546703199,6216,0.01893823203705267,30.478000997187333,3,0.03115264797507788,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2830_response_model.pkl
2754,0.44347290293042185,31.756370196635423,73.13004871336845,9369,-0.06410920913706246,30.68457583008045,1,0.010653030787258976,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2754_response_model.pkl
2749,0.42781849273677935,31.915140871288894,74.14903503410099,9367,-0.03867109061618104,30.817856283568137,0,0.0,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2749_response_model.pkl
2823,0.4221110003327306,31.895811944997376,73.50621147974562,9634,-0.01818671325466046,30.92169154654386,2,0.02075765438505449,C:\Users\Admin\Documents\chiller-agent-system\chiller-agent-system\data\anomaly_models\chiller_2823_response_model.pkl
